"JAVA-LIB","VERSION","RELEASED","LATEST_VERSION","LAST_CHECK","SOURCE","STATUS","COMMENT","ACTION"
"itext-1.3.1.migrated.jar","1.3.1",2006,"4.2.2",2022-03-16,"https://mvnrepository.com/artifact/com.lowagie/itext","no known vulnerability","PDF Library",
"jackson-annotations-2.13.2.jar","2.13.2",2022,"2.13.2",2022-04-07,"https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations","latest release","core annotations used for value types, used by Jackson data binding package",
"jackson-core-2.13.2.jar","2.13.2",2022,"2.13.2",2022-04-07,"https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core","latest release","core processing abstractions (aka Streaming API), implementation for JSON",
"jackson-databind-2.13.2.jar","2.13.2",2022,"2.13.2",2022-04-07,"https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind","latest release","general data-binding functionality: works on core streaming API ",
"jakarta.activation.migrated.jar","1.2.1",2018,"2.1.0",2022-03-16,"https://mvnrepository.com/artifact/jakarta.activation/jakarta.activation-api","no known vulnerability","Jakarta Activation API 2.1 spec",
"jakarta.mail-1.6.5.migrated.jar","1.6.5",2020,"2.1.0",2022-03-16,"https://mvnrepository.com/artifact/jakarta.mail/jakarta.mail-api","no known vulnerability","Jakarta Mail API 2.1 spec",
"jakarta.xml.bind-api.migrated.jar","2.3.2",2019,"3.0.1",2022-03-16,"https://mvnrepository.com/artifact/jakarta.xml.bind/jakarta.xml.bind-api","no known vulnerability","Jakarta XML Binding API",
"jakarta-oro-2.0.8.migrated.jar","2.0.8",2005,"2.0.8",2022-03-16,"https://mvnrepository.com/artifact/oro/oro","no known vulnerability","regular expression library",
"java-jwt-3.8.3.migrated.jar","3.8.3",2019,"3.19.0",2022-03-16,"https://mvnrepository.com/artifact/com.auth0/java-jwt","no known vulnerability","JSON Web Token (JWT)",
"jaxb-runtime.migrated.jar","2.3.2",2019,"3.0.2",2022-03-16,"https://mvnrepository.com/artifact/org.glassfish.jaxb/jaxb-runtime","no known vulnerability","Java for XML Binding (JAXB), implementation for Jakarta XML Binding API",
"jaxen-1.2.0.jar","1.2.0",2019,"1.2.0",2022-03-16,"https://mvnrepository.com/artifact/jaxen/jaxen","latest release","Xpath engine",
"jericho-html-3.4.jar","3.4",2015,"3.4",2022-03-31,"https://mvnrepository.com/artifact/net.htmlparser.jericho/jericho-html","latest release","HTML parser",
"jsch-0.1.54.migrated.jar","0.1.54",2016,"0.1.55",2022-03-16,"https://mvnrepository.com/artifact/com.jcraft/jsch","no known vulnerability","Java implementation of SSH2",
"json-lib-2.4-jdk15.migrated.jar","2.4",2010,"2.4",2022-03-16,"https://mvnrepository.com/artifact/net.sf.json-lib/json-lib","latest release","library to transform beans, maps, collections, java arrays and XML to JSON",
"jsoup-1.14.3.jar","1.14.3",2021,"1.14.3",2022-03-16,"https://mvnrepository.com/artifact/org.jsoup/jsoup","latest release","library to manipulate HTML DOMs and CSS",
"jstyleparser-1.20.migrated.jar","1.2",2015,"3.5",2022-03-16,"https://mvnrepository.com/artifact/net.sf.cssbox/jstyleparser","no known vulnerability","CSS parser (belongs to cssbox.jar)",
"jta-101.migrated.jar","1.0.1B",2005,"1.1.5",2022-03-16,"https://mvnrepository.com/artifact/javax.transaction/jta","no known vulnerability","Java Transaction API",
"jxp.migrated.jar","1.2.0",2005,"1.6.1",2022-03-16,"http://jxp.sourceforge.net/changes-report.html","no known vulnerability","script processor for JSP files",
"log4j-api.2.17.1.jar","2.17.1",2021,"2.17.2",2022-03-16,"https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api","no known vulnerability","logging API",
"log4j-core-2.17.1.jar","2.17.1",2021,"2.17.2",2022-03-16,"https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-core","no known vulnerability","implementation of API",
"log4j-jcl-2.17.1.jar","2.17.1",2021,"2.17.2",2022-03-16,"https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-jcl","no known vulnerability","adapter for commons-logging library",
"log4j-slf4j-impl-2.17.1.jar","2.17.1",2021,"2.17.2",2022-03-16,"https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-slf4j-impl","no known vulnerability","SLF4J API binding to Log4j",
"msgpack-core-0.9.2.jar","0.9.2",2022,"0.9.2",2022-06-23,"https://mavenlibs.com/maven/dependency/org.msgpack/msgpack-core","latest release","used for agnUID V5",
"nekohtml-1.9.21.migrated.jar","1.9.21",2014,"1.9.22",2022-03-16,"https://mvnrepository.com/artifact/net.sourceforge.nekohtml/nekohtml","no known vulnerability","HTML parser and tag balancer",
